GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
testing-project,oop,Fan,18,45,0,0,8,7,3,2,3,2
testing-project,oop,FanRunner,27,0,0,0,9,0,2,0,2,0
testing-project,oop,RectangleRunner,19,0,0,0,6,0,2,0,2,0
testing-project,oop,Rectangle,0,66,0,0,0,14,0,8,0,8
testing-project,oop,Customer,14,29,0,0,6,5,4,2,4,2
testing-project,oop,BookRunner,30,0,0,0,6,0,2,0,2,0
testing-project,oop,Recipe1,18,0,0,0,8,0,4,0,4,0
testing-project,oop,Address,0,20,0,0,0,6,0,2,0,2
testing-project,oop,AbstractRecipe,10,0,0,0,5,0,2,0,2,0
testing-project,oop,Review,0,20,0,0,0,6,0,2,0,2
testing-project,oop,RecipeRunner,16,0,0,0,6,0,2,0,2,0
testing-project,oop,Book,6,43,0,0,2,8,1,2,1,2
testing-project,oop,CustomerRunner,33,0,0,0,8,0,2,0,2,0
testing-project,oop,RecipeWithMicrowave,24,0,0,0,10,0,4,0,4,0
testing-project,functionalprogramming,SystemOutConsumer,7,0,0,0,3,0,2,0,2,0
testing-project,functionalprogramming,EvenNumberPredicate,12,0,2,0,2,0,3,0,2,0
testing-project,functionalprogramming,NumberSquareMapper,10,0,0,0,2,0,2,0,2,0
testing-project,functionalprogramming,LambdaBehindTheScreensRunner,126,0,6,0,17,0,13,0,10,0
testing-project,functionalprogramming,FPNumberRunner,21,39,0,2,4,9,1,5,1,4
testing-project,functionalprogramming,MethodReferencesRunner,91,10,3,1,19,2,8,2,6,2
testing-project,functionalprogramming,FunctionalProgrammingRunner,72,0,6,0,20,0,12,0,9,0
testing-project,interfaces,Aeroplane,0,5,0,0,0,2,0,2,0,2
testing-project,interfaces,DummyAlgorithm,0,7,0,0,0,2,0,2,0,2
testing-project,interfaces,FlyableRunner,38,0,2,0,5,0,3,0,2,0
testing-project,interfaces,Bird,0,5,0,0,0,2,0,2,0,2
testing-project,interfaces,Project,14,0,0,0,4,0,2,0,2,0
testing-project,interfaces,RealAlgorithm,0,7,0,0,0,2,0,2,0,2
testing-project,interfaces,Project.Test,1,0,0,0,1,0,1,0,1,0
testing-project,interfaces,Project.Class2,7,0,0,0,2,0,2,0,2,0
testing-project,interfaces,Project.Class1,7,0,0,0,2,0,2,0,2,0
testing-project,interfaces,GameRunner,47,0,2,0,8,0,3,0,2,0
testing-project,interfaces,MarioGame,0,11,0,0,0,5,0,5,0,5
testing-project,interfaces,ChessGame,0,11,0,0,0,5,0,5,0,5
testing-project,primitives,SimpleInterestCalculator,0,38,0,0,0,7,0,2,0,2
testing-project,primitives,BiNumber,0,49,0,0,0,15,0,8,0,8
testing-project,primitives,MyCharRunner,27,0,0,0,9,0,2,0,2,0
testing-project,primitives,SimpleInterestCalculatorRunner,17,0,0,0,6,0,2,0,2,0
testing-project,primitives,MyChar,30,106,13,27,6,27,13,15,2,6
testing-project,primitives,BiNumberRunner,29,0,0,0,8,0,2,0,2,0
testing-project,collections,QueueRunner,39,0,2,0,7,0,3,0,2,0
testing-project,collections,AscendingStudentComparator,9,0,0,0,2,0,2,0,2,0
testing-project,collections,MapRunner,108,0,8,0,19,0,6,0,2,0
testing-project,collections,SetRunner,45,0,0,0,9,0,2,0,2,0
testing-project,collections,Student,35,0,0,0,12,0,7,0,7,0
testing-project,collections,StudentsCollectionRunner,44,0,0,0,9,0,2,0,2,0
testing-project,collections,StringLengthComparator,9,0,0,0,3,0,2,0,2,0
testing-project,loops,WhileNumberPlayerRunner,13,0,0,0,5,0,2,0,2,0
testing-project,loops,DoWhileRepeatedQuestionRunner,33,0,4,0,10,0,4,0,2,0
testing-project,loops,MyNumber,26,70,5,11,6,19,4,10,1,5
testing-project,loops,MyNumberRunner,32,0,0,0,10,0,2,0,2,0
testing-project,loops,WhileNumberPlayer,48,0,4,0,15,0,5,0,3,0
testing-project,inheritance,Animal,3,0,0,0,1,0,1,0,1,0
testing-project,inheritance,Cat,7,0,0,0,3,0,2,0,2,0
testing-project,inheritance,StudentWithoutInheritance,38,0,0,0,16,0,11,0,11,0
testing-project,inheritance,Employee,48,0,0,0,17,0,10,0,10,0
testing-project,inheritance,Dog,7,0,0,0,3,0,2,0,2,0
testing-project,inheritance,StudentRunner,25,0,0,0,8,0,2,0,2,0
testing-project,inheritance,AnimalRunner,37,0,2,0,5,0,3,0,2,0
testing-project,inheritance,Student,21,0,0,0,9,0,5,0,5,0
testing-project,inheritance,Person,34,0,0,0,12,0,7,0,7,0
testing-project,arrays,StudentRunner,73,0,0,0,18,0,2,0,2,0
testing-project,arrays,StringRunner,78,0,6,0,10,0,5,0,2,0
testing-project,arrays,Student,31,76,0,4,7,15,3,8,3,6
testing-project,conditionals,SwitchExercisesRunner,8,24,0,10,3,12,2,10,2,2
testing-project,conditionals,SwitchStatementRunner,90,0,15,0,44,0,19,0,8,0
testing-project,conditionals,IfStatementRunner,107,0,22,0,40,0,18,0,7,0
testing-project,conditionals,MenuRunner,139,0,13,0,40,0,12,0,4,0
testing-project,introduction,BookRunner,28,0,0,0,8,0,2,0,2,0
testing-project,introduction,Book,0,29,1,1,0,11,1,5,0,5
testing-project,introduction,MotorBikeRunner,56,0,0,0,16,0,2,0,2,0
testing-project,introduction,MotorBike,0,35,1,1,0,14,1,7,0,7
